Time	wtime	stime	utime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets
1527669447	1	0	0	5116	5816	0	35036	749220	3526656	0	0	2421	11	668	4
1527669478	32	6	7	379469	385508	0	929804	21411819	272224256	1091256	69632	9089738	7021	348583	2560
1527669510	63	9	21	675151	681332	0	1288928	29769911	335474688	1346624	217088	13157914	10702	716675	4589
1527669540	93	10	41	896376	902552	0	1515160	36393823	366415872	1437303	303104	20272670	16437	1117086	7018
1527669571	124	11	53	935779	942008	0	1615260	38861991	393740288	1794378	352256	40950542	31764	1664028	9968
1527669602	155	14	72	401373	407144	0	956468	53247957	729001984	5693752	3100672	55317251	41829	1868803	11613
1527669633	186	16	78	571599	577808	0	1239196	63246514	850055168	5836242	3215360	68344574	52250	2448135	14609
1527669664	218	17	81	700030	706052	0	1388560	65262265	898285568	6152118	3403776	83886797	64809	3243516	18535
1527669695	248	18	98	1047449	1053484	0	1985344	93386240	1415069696	6866208	3960832	207646280	149933	4222851	29777
1527669727	280	19	109	1281159	1287192	0	2422024	152931651	1744584704	8160880	5005312	417791699	293737	5651020	47121
1527669757	311	19	112	1340431	1346464	0	2513168	155720848	1744592896	8199523	5033984	420885535	297052	6092686	48826
1527669788	341	20	118	1502215	1508248	0	2641256	158524967	1744592896	8249415	5083136	491302409	346247	7496796	60755
1527669819	372	21	132	2032875	2038908	0	3225064	161320740	1744592896	8292418	5111808	510624959	360482	8129482	64694
1527669850	403	22	145	2249087	2255120	0	3541508	292454866	1900785664	8448872	5242880	541378274	383250	9034024	70502
1527669882	435	41	257	10066363	27319528	0	37913036	611972575	2504003584	31751488	56139776	777966617	546590	12071667	112350
1527669913	465	52	483	21640097	38101640	0	53545020	777476285	3288907776	69657777	94572544	797469632	560614	12414817	115828
1527669944	496	56	729	22178590	38561744	68	53978692	884362198	3334696960	124134161	149536768	797631008	561001	12459353	115923
